rule	label	entry	dsl
done	emptyAction	raw	action ;
done	emptyCondition	raw	condition ;
done	emptyContext	raw	context ;
done	emptyPolicyStatement	raw	policystatement ;
done	actionStatement	raw	action set x = 1; ;
done	conditionExpr	raw	condition true ;
done	conditionDebugBefore	raw	condition debug "hi" ; true ;
done	conditionDebugAfter	raw	condition true ; debug "hi" ;
done	contextStatement	raw	context for all accounts ;
done	contextDebugBefore	raw	context debug "hi" ; for all accounts ;
done	policyStrExpr	raw	policystatement "x" ;
done	policyNExpr	raw	policystatement /tbl ;
done	policyIExpr	raw	policystatement 1 ;
done	policyFExpr	raw	policystatement 1.0 ;
done	policyBExpr	raw	policystatement true ;
done	policyDExpr	raw	policystatement 2020-01-01 ;
usingblock	usingBlockEntity	action	account using account { set x = 1; };
usingblock	usingBlockEntityComma	action	account , using account { set x = 1; };
usingblock	usingBlockBase	action	{ set x = 1; };
possessiveRef	possessiveChain	condition	's 's
possessiveRef	colonChain	condition	: account : 's
contextForTable	contextDebug	context	debug "hi"
contextForTable	contextFor	context	for i = 0; i < 3; i++
contextForTable	contextForallCtl	context	for all accounts
contextForTable	contextForfirst	context	for first of accounts where true
contextForTable	contextCtx	context	contextstatement
contextForTable	contextLocal	context	with local string s
localvariables	localEntityUndef	context	local entity undefinedIdent
localvariables	localEntityInit	context	local entity undefinedIdent = account
localvariables	localEntityDefined	context	local entity account
localvariables	localLongUndef	context	local int undefinedIdent
localvariables	localLongInit	context	local int undefinedIdent = 5
localvariables	localLongDefined	context	local int n
localvariables	localDoubleUndef	context	local double undefinedIdent
localvariables	localDoubleInit	context	local double undefinedIdent = 5
localvariables	localDoubleDefined	context	local double d
localvariables	localBoolUndef	context	local boolean undefinedIdent
localvariables	localBoolInit	context	local boolean undefinedIdent = true
localvariables	localBoolDefined	context	local boolean b
localvariables	localDateUndef	context	local 2020-01-01 undefinedIdent
localvariables	localDateInit	context	local 2020-01-01 undefinedIdent = 2020-01-01
localvariables	localDateDefined	context	local 2020-01-01 dt
localvariables	localArrayUndef	context	local array undefinedIdent
localvariables	localArrayInit	context	local array undefinedIdent = accounts
localvariables	localArrayDefined	context	local array arr
localvariables	localStringUndef	context	local "hello" undefinedIdent
localvariables	localStringInit	context	local "hello" undefinedIdent = "x"
localvariables	localStringDefined	context	local "hello" s
localvariables	localBigIntUndef	context	local bigint undefinedIdent
localvariables	localBigIntInit	context	local bigint undefinedIdent = 1
