rule	label	reason
addtodest	addDestDouble	unreachable: parses as addDestArray, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
addtodest	addDestLong	unreachable: parses as addDestArray, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
addtodest	addDestPossessiveDouble	unreachable: parses as addDestColon, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
addtodest	addDestPossessiveLong	unreachable: parses as addDestColon, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
addtodest2	addDestDouble2	unreachable: parses as addDestArray2, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
addtodest2	addDestLong2	unreachable: parses as addDestArray2, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
bexpr	boolFunction	unreachable: parses as boolTyped, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
dexpr	dateFromArrayAt	unreachable: parses as dateFromIndex, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
eexpr	entityNewTyped	unreachable: parses as entityNewName, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
leftDexpr	leftDexprSimple	unreachable: parses as leftStrexprSimple (setDate is dead), which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
leftFexpr	leftFexprSimple	unreachable: parses as leftIexprSimple (setFloat is dead), which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
leftTexpr	leftTexprSimple	unreachable: parses as leftIexprSimple (setTable is dead), which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
localvariables	localArrayDefined	unreachable: parses as localArrayUndef, because the typed placeholder and undefinedIdent are both IDENT; the Java grammar's already-defined check is lost (#1249)
localvariables	localBigIntDefined	unreachable: parses as localBigIntUndef, because the typed placeholder and undefinedIdent are both IDENT; the Java grammar's already-defined check is lost (#1249)
localvariables	localBoolDefined	unreachable: parses as localBoolUndef, because the typed placeholder and undefinedIdent are both IDENT; the Java grammar's already-defined check is lost (#1249)
localvariables	localBytesDefined	unreachable: parses as localBytesUndef, because the typed placeholder and undefinedIdent are both IDENT; the Java grammar's already-defined check is lost (#1249)
localvariables	localDateDefined	unreachable: parses as localDateUndef, because the typed placeholder and undefinedIdent are both IDENT; the Java grammar's already-defined check is lost (#1249)
localvariables	localDoubleDefined	unreachable: parses as localDoubleUndef, because the typed placeholder and undefinedIdent are both IDENT; the Java grammar's already-defined check is lost (#1249)
localvariables	localEntityDefined	unreachable: parses as localEntityUndef, because the typed placeholder and undefinedIdent are both IDENT; the Java grammar's already-defined check is lost (#1249)
localvariables	localFixedDefined	unreachable: parses as localFixedUndef, because the typed placeholder and undefinedIdent are both IDENT; the Java grammar's already-defined check is lost (#1249)
localvariables	localLongDefined	unreachable: parses as localLongUndef, because the typed placeholder and undefinedIdent are both IDENT; the Java grammar's already-defined check is lost (#1249)
localvariables	localStringDefined	unreachable: parses as localStringUndef, because the typed placeholder and undefinedIdent are both IDENT; the Java grammar's already-defined check is lost (#1249)
randomstatements	clearArray	unreachable: parses as clearstatement (unlabelled), which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
setstatement	decrementDouble	unreachable: parses as decrementLong, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
setstatement	incrementDouble	unreachable: parses as incrementLong, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
setstatement	setArrayDate	unreachable: parses as setStringFromDate, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
setstatement	setArrayEntity	unreachable: parses as setEntity, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
setstatement	setArrayFloat	unreachable: parses as setInt, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
setstatement	setArrayInt	unreachable: parses as setInt, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
setstatement	setArrayString	unreachable: parses as setString, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
setstatement	setBoolFromName	unreachable: parses as setStringFromName, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
setstatement	setDate	unreachable: parses as setStringFromDate, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
setstatement	setFloat	unreachable: parses as setInt, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
setstatement	setStringFromNumber	unreachable: parses as setInt, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
setstatement	setTable	unreachable: parses as setInt, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
strexpr	strConcatInvalid	unreachable: parses as strConcat, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
strexpr	strConcatNull	unreachable: parses as strConcat, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
strexpr	strTyped	unreachable: parses as strXmlValue, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
subtodest	subDestDouble	unreachable: parses as subDestLong, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
subtodest	subDestPossessiveDouble	unreachable: parses as subDestColon, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
subtodest	subDestPossessiveLong	unreachable: parses as subDestColon, which the parser tries first on the same tokens; the emitter types it from the symbol table (#1250)
