jurisdiction	document	url
CA	Form 100 Corporation Franchise or Income Tax Return (2025)	https://www.ftb.ca.gov/forms/2025/2025-100.pdf
CA	Form 100 Booklet — instructions (2025)	https://www.ftb.ca.gov/forms/2025/2025-100-booklet.pdf
NY	Form CT-3 General Business Corporation Franchise Tax Return	https://www.tax.ny.gov/pdf/current_forms/ct/ct3.pdf
NY	Form CT-3-I instructions (2025)	https://www.tax.ny.gov/pdf/2025/corp/ct3i_2025.pdf
TX	Form 05-158-A Franchise Tax Annual Report (2025)	https://comptroller.texas.gov/forms/05-158-a-25.pdf
FL	Form F-1120 Corporate Income/Franchise Tax Return	https://floridarevenue.com/Forms_library/current/f1120.pdf
FL	Form F-1120N instructions	https://floridarevenue.com/Forms_library/current/f1120n.pdf
IL	Form IL-1120 Corporation Income and Replacement Tax Return (2025)	https://tax.illinois.gov/content/dam/soi/en/web/tax/forms/incometax/documents/currentyear/business/corporate/il-1120.pdf
IL	Form IL-1120 instructions (2025)	https://tax.illinois.gov/content/dam/soi/en/web/tax/forms/incometax/documents/currentyear/business/corporate/il-1120-instr.pdf
PA	Form RCT-101 PA Corporate Net Income Tax Report (2025)	https://www.pa.gov/content/dam/copapwp-pagov/en/revenue/documents/formsandpublications/formsforbusinesses/corporationtax/documents/2025/2025_rct-101.pdf
PA	REV-1200 CNI instructions (2025)	https://www.pa.gov/content/dam/copapwp-pagov/en/revenue/documents/formsandpublications/formsforbusinesses/corporationtax/documents/2025/2025_rev-1200.pdf
PA	Corporate Net Income Tax Audit Manual	https://www.pa.gov/content/dam/copapwp-pagov/en/revenue/documents/taxlawpoliciesbulletinsnotices/auditmanuals/documents/cni_audit_manual.pdf
GA	IT-611 Corporate Income Tax Instruction Booklet (2025)	https://dor.georgia.gov/document/document/2025-it611-corporate-income-tax-instruction-booklet/download
NJ	Form CBT-100 Corporation Business Tax Return (2025)	https://www.nj.gov/treasury/taxation/pdf/current/cbt/cbt100.pdf
NJ	Form CBT-100 instructions (2025)	https://www.nj.gov/treasury/taxation/pdf/current/cbt/cbt100ins.pdf
NJ	Form CBT-100U unitary return instructions (2025)	https://www.nj.gov/treasury/taxation/pdf/current/cbt/cbt100uins.pdf
MA	Form 355 Business/Manufacturing Corporation Excise Return (2025)	https://www.mass.gov/doc/2025-form-355-businessmanufacturing-corporation-excise-return/download
MA	Form 355 instructions (2025)	https://www.mass.gov/doc/2025-form-355-instructions/download
MA	Form 355U combined report instructions (2025)	https://www.mass.gov/doc/2025-form-355u-instructions/download
MI	Form 4891 Corporate Income Tax Annual Return (2025)	https://www.michigan.gov/taxes/-/media/Project/Websites/taxes/Forms/CIT/TY2025/4891_ty2025.pdf
MI	Form 4891 instructions (2025)	https://www.michigan.gov/taxes/-/media/Project/Websites/taxes/Forms/CIT/TY2025/4891_ty2025-instructions.pdf
MI	Form 4890 General Information for Standard Taxpayers (2025)	https://www.michigan.gov/taxes/-/media/Project/Websites/taxes/Forms/CIT/TY2025/4890_ty2025.pdf
NC	Form CD-405 C-Corporation Tax Return (2025)	https://www.ncdor.gov/tax-forms/2025-cd-405-c-corporation-tax-return/open
NC	Form CD-405 instructions (2025)	https://www.ncdor.gov/tax-forms/2025-cd-405-c-corporation-tax-return-instructions/open
VA	Form 500 Corporation Income Tax Return (2025)	https://www.tax.virginia.gov/sites/default/files/taxforms/corporation-and-pass-through-entity-tax/2025/500-2025.pdf
VA	Form 500 instructions (2025)	https://www.tax.virginia.gov/sites/default/files/vatax-pdf/2025-500-instructions.pdf
CO	Form DR 0112 C Corporation Income Tax Return (2025)	https://tax.colorado.gov/sites/tax/files/documents/DR0112_2025.pdf
AZ	Form 120 Corporation Income Tax Return (2025)	https://azdor.gov/sites/default/files/document/FORMS_CORPORATE_2025_120_f.pdf
AZ	Form 120 instructions (2025)	https://azdor.gov/sites/default/files/document/FORMS_CORPORATE_2025_120_i.pdf
MN	Form M4 Corporation Franchise Tax Return (2025)	https://www.revenue.state.mn.us/sites/default/files/2025-12/m4-series-25.pdf
MN	Form M4 instructions (2025)	https://www.revenue.state.mn.us/sites/default/files/2026-06/m4-inst-25_1.pdf
WI	Form 4 instructions, non-combined franchise/income tax (2025)	https://www.revenue.wi.gov/TaxForms2025/2025-Form4-Inst.pdf
WI	Corporate Income and Franchise Taxes — DOR reference report	https://www.revenue.wi.gov/DORReports/CorpIncFranchTax.pdf
IN	IT-20 Corporate Income Tax Booklet (2025)	https://forms.in.gov/Download.aspx?id=16945
MD	Form 500 Corporation Income Tax Return	https://www.marylandtaxes.gov/forms/23_forms/500.pdf
MO	Form MO-1120 Corporation Income Tax Return (2025)	https://dor.mo.gov/forms/MO-1120_2025.pdf
MO	Form MO-1120 instructions (2025)	https://dor.mo.gov/forms/MO-1120%20Instructions_2025.pdf
CT	Form CT-1120 Corporation Business Tax Return (2025)	https://portal.ct.gov/-/media/drs/forms/2025/corp/ct-1120_1225.pdf
CT	Form CT-1120 instructions (2025)	https://portal.ct.gov/-/media/drs/forms/2025/corp/ct-1120-instructions_1225.pdf
OR	Form OR-20 Corporation Excise Tax Return (2025)	https://www.oregon.gov/DOR/forms/FormsPubs/form-or-20_102-020_2025.pdf
OR	Form OR-20 instructions (2025)	https://www.oregon.gov/DOR/forms/FormsPubs/form-or-20-instructions_102-020-1_2025.pdf
AL	Form 20C Corporation Income Tax Return (2025)	https://www.revenue.alabama.gov/wp-content/uploads/2026/01/25f20c.pdf
AL	Form 20C instructions (2025)	https://www.revenue.alabama.gov/wp-content/uploads/2026/01/25f20cinstr.pdf
SC	Form SC1120 C Corporation Income Tax Return	https://dor.sc.gov/sites/dor/files/forms/SC1120.pdf
SC	Form SC1120 instructions (C and S corporations)	https://dor.sc.gov/sites/dor/files/forms/SC1120I.pdf
TN	Form FAE170 Franchise and Excise Tax Return (2025)	https://www.tn.gov/content/dam/tn/revenue/documents/forms/fae/FAE170_2025.pdf
TN	Form FAE170 instructions (2025)	https://www.tn.gov/content/dam/tn/revenue/documents/forms/fae/fae170instructions2025.pdf
TN	Franchise and Excise Tax Manual (June 2025)	https://www.tn.gov/content/dam/tn/revenue/documents/tax_manuals/june-2025/Frachise-Excise-Tax-Manual.pdf
KY	Form 720 Corporation Income Tax and LLET Return (2025)	https://revenue.ky.gov/Forms/Form%20720%20(2025).pdf
KY	Form 720 instructions	https://revenue.ky.gov/Forms/Form%20720%20Instructions.pdf
IA	Form IA 1120 Corporation Income Tax Return (2025)	https://revenue.iowa.gov/media/4369/download?inline=
KS	Form K-120 Corporate Income Tax Return	https://www.ksrevenue.gov/pdf/k-12024.pdf
KS	Corporate Income Tax Instructions booklet (2025)	https://www.ksrevenue.gov/pdf/corpbook2025.pdf
OK	Form 512 Oklahoma Corporation Income Tax Return packet (2025)	https://www.oklahoma.gov/content/dam/ok/en/tax/documents/forms/businesses/corporate-income-tax/current/512-Pkt.pdf
UT	Form TC-20 Corporation Franchise and Income Tax Return	https://files.tax.utah.gov/tax/forms/current/tc-20.pdf
UT	Form TC-20 instructions (2025)	https://files.tax.utah.gov/tax/forms/current/tc-20inst.pdf
AR	C Corporation Income Tax Instructions (2024)	https://www.dfa.arkansas.gov/wp-content/uploads/CorporationIncomeTaxInstructions_2024.pdf
AR	Form AR1100CT Corporation Income Tax Return (2024)	https://www.dfa.arkansas.gov/wp-content/uploads/AR1100CT_CorporationIncomeTaxReturn_2024.pdf
MS	Form 83-105 Corporate Income and Franchise Tax Return (2025)	https://www.dor.ms.gov/sites/default/files/tax-forms/business/83105258.pdf
MS	Corporate Income and Franchise Tax instructions 83-100 (2025)	https://www.dor.ms.gov/sites/default/files/tax-forms/business/2025%20CIT%20INSTRUCTIONS%2083-100%20-%20Final%20%2001.14.2026.pdf
NE	Corporation Income Tax Booklet, Form 1120N and instructions (2025)	https://revenue.nebraska.gov/sites/default/files/doc/tax-forms/2025/f_Corp_Booklet.pdf
ID	Form 41 Corporation Income Tax Return and instructions	https://tax.idaho.gov/wp-content/uploads/forms/EFO00025/EFO00025_03-02-2026.pdf
MT	Form CIT Corporate Income Tax Return (2024)	https://mtrevenue.gov/wp-content/uploads/dlm_uploads/2024/12/2024_Corporate_Income_Tax_Return-Form_CIT-1.pdf
DE	Corporate Income Tax Return Instructions (2025)	https://revenuefiles.delaware.gov/2025/BusinessTaxForms_Instructions/CIT-TAX_2025-01_Instructions.pdf
DE	Corporate Income Tax — statutory provision review (2025)	https://financefiles.delaware.gov/Reports/TaxPref/4-CIT-2025_KTR.pdf
HI	Form N-30 Corporation Income Tax Return (rev. 2025)	https://files.hawaii.gov/tax/forms/current/n30_i.pdf
HI	Form N-30 instructions (rev. 2025)	https://files.hawaii.gov/tax/forms/current/n30ins.pdf
RI	Form RI-1120C Business Corporation Tax Return (2025)	https://tax.ri.gov/sites/g/files/xkgbur541/files/2025-10/2025%20RI-1120C_bd.pdf
